width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
1.1,3.76,1729.0,2.9,322.0,0.96,1.34,1.05,86.5,568.25,49.5, 70.035
1.1,3.76,1729.0,2.9,322.0,0.96,1.34,1.4,12.0,87.75,27.5, 58.344
3.65,4.52,3578.0,3.95,528.0,1.94,1.3,1.3,40.75,234.0,14.5, -452.399
3.65,4.52,3578.0,3.95,528.0,1.94,1.3,0.95,13.5,114.75,30.0, -180.319
3.65,4.52,3578.0,3.95,528.0,1.94,1.3,0.5,64.75,421.25,60.5, 91.834
3.65,4.52,3578.0,3.95,528.0,1.94,1.3,0.85,10.75,525.75,48.5, 84.962
3.85,3.0,4288.0,0.95,337.0,1.5,0.94,1.1,50.5,325.75,73.5, 104.848
3.85,3.0,4288.0,0.95,337.0,1.5,0.94,0.85,14.0,341.0,23.0, 80.956
3.85,3.0,4288.0,0.95,337.0,1.5,0.94,0.65,43.5,507.0,36.0, 87.840
3.85,3.0,4288.0,0.95,337.0,1.5,0.94,1.35,34.0,175.25,51.5, 90.885
1.9,4.62,2366.0,3.65,434.0,1.4,1.66,0.8,35.0,510.5,51.5, 71.413
1.9,4.62,2366.0,3.65,434.0,1.4,1.66,0.6,12.75,239.0,69.0, 75.393
1.9,4.62,2366.0,3.65,434.0,1.4,1.66,1.05,14.0,95.0,23.0, -148.149
1.9,4.62,2366.0,3.65,434.0,1.4,1.66,1.3,86.75,439.75,42.0, 68.917
4.6,3.22,3209.0,3.45,337.0,1.16,1.62,1.0,36.0,210.25,66.0, -813.727
4.6,3.22,3209.0,3.45,337.0,1.16,1.62,0.75,11.25,141.25,16.5, -248.298
4.6,3.22,3209.0,3.45,337.0,1.16,1.62,0.55,63.0,563.0,41.5, 79.575
4.6,3.22,3209.0,3.45,337.0,1.16,1.62,1.25,36.0,345.5,50.0, -1519.449
3.55,2.02,4386.0,1.8,361.0,1.58,0.6,0.7,27.5,198.75,51.0, 101.706
3.55,2.02,4386.0,1.8,361.0,1.58,0.6,1.2,24.25,223.25,40.5, 99.907
3.55,2.02,4386.0,1.8,361.0,1.58,0.6,0.55,91.0,571.75,26.5, 100.747
3.55,2.02,4386.0,1.8,361.0,1.58,0.6,1.15,16.75,464.5,73.0, 139.444
0.8,3.16,1655.0,3.45,579.0,1.38,0.74,0.45,16.75,102.0,46.0, 78.334
0.8,3.16,1655.0,3.45,579.0,1.38,0.74,1.1,83.25,526.5,72.5, 106.318
0.8,3.16,1655.0,3.45,579.0,1.38,0.74,1.35,43.25,407.5,33.0, 77.551
0.8,3.16,1655.0,3.45,579.0,1.38,0.74,0.65,21.0,306.0,15.0, 67.271
2.75,3.96,2315.0,0.95,552.0,0.56,1.8,1.25,18.5,218.0,37.0, -410.622
2.75,3.96,2315.0,0.95,552.0,0.56,1.8,1.05,11.0,118.5,57.0, -191.819
2.75,3.96,2315.0,0.95,552.0,0.56,1.8,0.5,89.5,532.75,72.0, 112.291
2.75,3.96,2315.0,0.95,552.0,0.56,1.8,0.85,48.0,365.5,24.5, 75.218
3.25,3.56,4096.0,5.0,424.0,1.46,1.22,0.95,36.0,574.5,61.5, -2563.050
3.25,3.56,4096.0,5.0,424.0,1.46,1.22,0.7,8.75,307.5,20.5, 80.306
3.25,3.56,4096.0,5.0,424.0,1.46,1.22,1.3,42.75,345.75,33.0, 84.928
3.25,3.56,4096.0,5.0,424.0,1.46,1.22,0.4,33.0,177.75,47.5, 91.668
3.2,3.62,1538.0,3.05,429.0,0.46,1.96,0.6,54.5,451.5,19.0, -941.006
3.2,3.62,1538.0,3.05,429.0,0.46,1.96,0.85,11.25,117.5,45.0, -202.680
3.2,3.62,1538.0,3.05,429.0,0.46,1.96,1.15,32.25,337.25,38.0, 71.582
3.2,3.62,1538.0,3.05,429.0,0.46,1.96,1.2,105.25,547.5,66.5, 112.272
4.5,2.76,3084.0,1.75,591.0,1.92,1.74,1.0,48.5,251.25,32.5, 72.415
4.5,2.76,3084.0,1.75,591.0,1.92,1.74,1.2,22.5,169.75,50.0, -302.979
4.5,2.76,3084.0,1.75,591.0,1.92,1.74,0.5,32.25,549.5,26.5, -1145.769
4.5,2.76,3084.0,1.75,591.0,1.92,1.74,0.75,41.5,383.5,72.5, -1680.730
2.35,2.2,3670.0,4.8,392.0,1.2,1.18,1.15,47.75,377.75,14.0, 75.041
2.35,2.2,3670.0,4.8,392.0,1.2,1.18,0.55,89.25,481.75,63.5, 134.013
2.35,2.2,3670.0,4.8,392.0,1.2,1.18,1.05,21.75,262.0,50.5, -725.596
2.35,2.2,3670.0,4.8,392.0,1.2,1.18,0.7,9.0,98.0,32.0, -145.907
1.15,3.14,3799.0,1.55,395.0,0.74,0.74,0.45,16.0,145.5,19.5, 101.618
1.15,3.14,3799.0,1.55,395.0,0.74,0.74,0.8,17.5,290.0,70.0, 138.668
1.15,3.14,3799.0,1.55,395.0,0.74,0.74,1.1,79.75,415.0,51.5, 138.421
1.15,3.14,3799.0,1.55,395.0,0.74,0.74,1.35,68.25,522.75,31.5, 121.835
4.75,3.42,4507.0,2.1,442.0,1.28,0.54,0.45,44.75,497.25,60.0, 123.583
4.75,3.42,4507.0,2.1,442.0,1.28,0.54,1.05,14.75,246.25,55.5, 112.648
4.75,3.42,4507.0,2.1,442.0,1.28,0.54,0.75,15.0,81.25,25.0, 92.998
4.75,3.42,4507.0,2.1,442.0,1.28,0.54,1.35,56.25,426.25,31.0, 107.794
3.95,2.44,3700.0,4.45,557.0,1.86,1.82,0.5,30.25,202.25,50.5, -762.639
3.95,2.44,3700.0,4.45,557.0,1.86,1.82,1.2,43.0,497.75,69.5, -2211.540
3.95,2.44,3700.0,4.45,557.0,1.86,1.82,0.8,47.0,275.5,42.0, 82.667
3.95,2.44,3700.0,4.45,557.0,1.86,1.82,1.1,25.5,422.0,21.5, -860.382
2.05,2.24,2049.0,2.1,305.0,1.22,0.58,0.5,76.25,564.0,46.5, 77.157
2.05,2.24,2049.0,2.1,305.0,1.22,0.58,1.0,13.0,164.0,72.0, 75.795
2.05,2.24,2049.0,2.1,305.0,1.22,0.58,0.75,72.5,439.0,22.5, 62.145
2.05,2.24,2049.0,2.1,305.0,1.22,0.58,1.25,30.25,330.25,38.5, 68.064
1.5,4.14,3932.0,3.1,359.0,1.22,0.98,0.6,39.25,536.75,44.0, 96.321
1.5,4.14,3932.0,3.1,359.0,1.22,0.98,1.4,11.5,129.5,61.5, 91.140
1.5,4.14,3932.0,3.1,359.0,1.22,0.98,0.9,58.0,332.5,17.0, 82.103
1.5,4.14,3932.0,3.1,359.0,1.22,0.98,0.85,61.75,465.75,39.5, 96.503
3.9,4.02,2586.0,3.9,452.0,0.42,1.78,0.75,23.25,179.25,37.5, 94.765
3.9,4.02,2586.0,3.9,452.0,0.42,1.78,1.25,83.75,479.25,46.5, 113.510
3.9,4.02,2586.0,3.9,452.0,0.42,1.78,0.95,32.25,367.5,66.5, -1406.810
3.9,4.02,2586.0,3.9,452.0,0.42,1.78,0.65,10.5,339.25,26.5, 92.148
4.2,3.7,2124.0,1.85,524.0,1.56,1.54,0.7,64.5,481.0,59.0, 75.682
4.2,3.7,2124.0,1.85,524.0,1.56,1.54,0.45,24.25,340.25,70.5, 78.207
4.2,3.7,2124.0,1.85,524.0,1.56,1.54,1.35,36.5,219.25,29.0, 61.466
4.2,3.7,2124.0,1.85,524.0,1.56,1.54,1.0,8.5,84.0,25.5, -123.532
